128 /  1,5
0,740771 /  0
0,9754195 /  0
1,167438 /  0
1,636757 /  0
1,850091 /  0
2,063424 /  0
2,276757 /  0
2,767438 /  0
3,236757 /  0
3,7061 /  0
3,940771 /  0
4,431428 /  0
4,644762 /  0
4,879433 /  0
5,050091 /  0
5,263424 /  0
5,434104 /  0
5,647438 /  0
6,052766 /  0
6,522086 /  0
6,735419 /  0
7,2261 /  0
7,460771 /  0
8,612766 /  0
8,890091 /  0
9,423424 /  0
9,615419 /  0
10,36209 /  0
11,04476 /  0
11,25809 /  0
11,74875 /  0
12,3461 /  0
12,62342 /  0
12,81542 /  0
13,05009 /  0
13,24209 /  0
13,66875 /  0
13,86077 /  0
14,0741 /  0
14,30875 /  0
14,73542 /  0
15,09809 /  0
15,29009 /  0
16,01542 /  0
16,22875 /  0
16,67676 /  0
16,89009 /  0
17,33809 /  0
18,04209 /  0
18,51143 /  0
18,95943 /  0
19,8981 /  0
20,1541 /  0
20,45277 /  0
20,64476 /  0
21,15676 /  0
21,39143 /  0
21,58342 /  0
21,79676 /  0
22,0741 /  0
22,28744 /  0
22,50077 /  0
23,29009 /  0
23,71676 /  0
24,1861 /  0
24,65542 /  0
25,08209 /  0
25,5941 /  0
26,04209 /  0
26,53277 /  0
27,00209 /  0
27,47143 /  0
27,91943 /  0
28,41009 /  0
28,87943 /  0
29,32744 /  0
29,79676 /  0
30,22342 /  0
30,7141 /  0
31,20476 /  0
31,69542 /  0
32,14342 /  0
32,59143 /  0
33,06077 /  0
33,53009 /  0
33,9781 /  0
34,46875 /  0
34,9381 /  0
35,42875 /  0
35,89809 /  0
36,55943 /  0
37,26342 /  0
38,65009 /  0
39,56744 /  0
40,33542 /  0
40,97542 /  0
41,23143 /  0
41,7861 /  0
42,38342 /  0
42,63943 /  0
43,08744 /  0
43,55676 /  0
44,04744 /  0
44,53809 /  0
45,05009 /  0
46,22342 /  0
46,41542 /  0
47,0341 /  0
47,71676 /  0
48,5061 /  0
49,4661 /  0
52,77277 /  0
53,19943 /  0
53,69009 /  0
54,15943 /  0
54,65009 /  0
55,07676 /  0
55,61009 /  0
56,03676 /  0
56,37809 /  0
56,57009 /  0
57,0181 /  0
57,23143 /  0
57,42342 /  0
57,63676 /  0
57,93542 /  0
58,19143 /  0
58,4261 /  0
58,7461 /  0
59,13009 /  0
59,34343 /  0
59,79143 /  0
59,98343 /  0
60,62342 /  0
60,87943 /  0
61,09277 /  0
61,32744 /  0
61,54077 /  0
61,8181 /  0
62,05276 /  0
62,24476 /  0
62,43676 /  0
62,86342 /  0
63,26875 /  0
63,56744 /  0
63,95143 /  0
64,5061 /  0
64,6981 /  0
64,93277 /  0
65,1461 /  0
65,35944 /  0
65,57277 /  0
65,80743 /  0
66,21277 /  0
66,59676 /  0
66,78875 /  0
67,27943 /  0
67,51411 /  0
67,79143 /  0
68,26077 /  0
68,45277 /  0
68,70876 /  0
69,22077 /  0
69,39143 /  0
69,6261 /  0
69,86077 /  0
70,30875 /  0
70,77809 /  0
71,29009 /  0
71,50343 /  0
72,03676 /  0
72,22875 /  0
72,44209 /  0
72,65542 /  0
72,86875 /  0
73,08208 /  0
73,55143 /  0
74,06342 /  0
74,27676 /  0
74,81009 /  0
75,02342 /  0
75,7061 /  0
75,94077 /  0
76,17542 /  0
76,70876 /  0
76,90077 /  0
77,13542 /  0
77,34875 /  0
77,79676 /  0
78,24476 /  0
78,75676 /  0
78,94875 /  0
79,48209 /  0
79,71676 /  0
79,95143 /  0
80,20744 /  0
80,39943 /  0
80,61277 /  0
81,08208 /  0
81,53009 /  0
81,7861 /  0
82,27676 /  0
82,49009 /  0
82,76744 /  0
83,32208 /  0
83,79143 /  0
84,00476 /  0
84,21809 /  0
84,60209 /  0
85,49809 /  0
86,0741 /  0
87,33276 /  0
87,58875 /  0
87,8661 /  0
88,12209 /  0
88,84743 /  0
89,08208 /  0
89,35944 /  0
89,5941 /  0
89,82875 /  0
90,04208 /  0
91,08744 /  0
91,32208 /  0
91,72744 /  0
91,94077 /  0
92,15411 /  0
92,55943 /  0
92,92209 /  0
93,26343 /  0
93,54077 /  0
93,77542 /  0
93,98875 /  0
94,88477 /  0
95,16209 /  0
95,61009 /  0
96,67676 /  0
97,18875 /  0
97,4661 /  0
97,6581 /  0
98,68208 /  0
99,19411 /  0
99,68476 /  0
99,89809 /  0
100,3674 /  0
100,5594 /  0
100,9861 /  0
101,1781 /  0
102,4154 /  0
102,8848 /  0
103,2474 /  0
103,8234 /  0
104,0368 /  0
104,7194 /  0
104,9114 /  0
106,1061 /  0
106,4048 /  0
106,8528 /  0
107,0448 /  0
107,5994 /  0
107,7914 /  0
108,4741 /  0
108,7088 /  0
109,6261 /  0
110,3301 /  0
110,5861 /  0
110,8421 /  0
111,5674 /  0
112,2714 /  0
113,6368 /  0
113,8714 /  0
114,5114 /  0
115,2581 /  0
115,9834 /  0
116,2181 /  0
117,3488 /  0
117,6048 /  0
